author,content,description,photo_url,pub_date,source,title,url
Mariel Padilla,"Tropical Storm Nestor spawned a string of tornadoes that damaged homes, uprooted trees and overturned vehicles as it moved inland over the Florida Panhandle from the Gulf of Mexico on Friday before it was expected to head to the North Carolina coast, forecast… [+587 chars]","A string of tornadoes, some with winds of 100 miles per hour, uprooted trees, overturned vehicles and ripped off roofs.",https://static01.nyt.com/images/2019/10/19/multimedia/19xp-nestor/19xp-nestor-facebookJumbo.jpg,2019-10-19,The New York Times,Tropical Storm Nestor Leaves Path of Damage in Florida Panhandle,https://www.nytimes.com/2019/10/19/us/nestor-florida-tropical-storm.html
"Yessenia Funes on Earther, shared by Andrew Couts to Gizmodo","Mario used to work. A lot. Twelve-hour workdays and seven-day workweeks are kind of the expectation when your job is to rebuild after a stormand youre undocumented. He hasnt worked in about a year, though. 
When Hurricane Michael roared through Florida last … [+16762 chars]","Mario used to work. A lot. Twelve-hour workdays and seven-day workweeks are kind of the expectation when your job is to rebuild after a storm—and you’re undocumented. He hasn’t worked in about a year, though. Read more...","https://i.kinja-img.com/gawker-media/image/upload/s--JYam4uh1--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/k6hyqysjidnqvw7jcbj9.png",2019-10-11,Gizmodo.com,'I Have Rights:' How Undocumented Laborers Are Exploited During Disaster Recovery,https://earther.gizmodo.com/i-have-rights-how-undocumented-laborers-are-exploited-1838922034
David Anderson and Bob Hunt,"Following is a transcript of the video.
Narrator: President Donald Trump isn't the first person to suggest we nuke a hurricane. Back in the '50s, a meteorologist named Jack Reed introduced the idea as a way to prevent hurricanes from reaching the coast. And … [+3079 chars]","President Donald Trump isn't the first person to suggest we nuke a hurricane. Back in the '50s, a meteorologist named Jack Reed introduced the idea as a way to prevent hurricanes from reaching the coast. The National Oceanic and Atmospheric Administration has…",https://image.businessinsider.com/5d8e38962e22af1c4e3ba968?width=1200&format=jpeg,2019-10-03,Business Insider,What would happen if we actually detonated a nuclear bomb inside of a hurricane,https://www.businessinsider.com/what-if-nuke-nuked-hurricane-trump-detonate-2019-9
Josh Ocampo,"Over the weekend, devastating fires in Northern California forced an estimated 200,000 people to evacuatethe single largest evacuation in Sonoma County in its history, the Washington Post writes. Meanwhile, just a few hundred miles south, the Getty Fire has a… [+1950 chars]","Over the weekend, devastating fires in Northern California forced an estimated 200,000 people to evacuate—the single largest evacuation in Sonoma County in its history, the Washington Post writes. Meanwhile, just a few hundred miles south, the Getty Fire has …","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/bnun7fhrmefjemy2f2yx.jpg",2019-10-29,Lifehacker.com,What to Pack During an Emergency Evacuation,https://lifehacker.com/what-to-pack-during-an-emergency-evacuation-1839418212
,"England are already through to the quarter-finals and will top Group C if they beat France
England's final World Cup group match against France and Formula 1 qualifying could both be affected by the powerful typhoon that is due to hit Japan on Saturday after… [+2338 chars]",England's final World Cup group match against France and F1 qualifying could be affected as the typhoon that is due to hit Japan changes course.,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/B1F2/production/_109145554_tyohon.jpg,2019-10-08,BBC News,England game and F1 could be affected as typhoon changes course,https://www.bbc.co.uk/sport/rugby-union/49973347
Bill Carter for CNN Business Perspectives,"Bill Carter, a media analyst for CNN, covered the television industry for The New York Times for 25 years, and has written four books on TV, including The Late Shift and The War for Late Night. The opinions expressed in this commentary are his own.
Shepard S… [+4484 chars]","The viewers will get more of what they want from Fox News: a full-throated defense of the president, without any of Shepard Smith's throat-clearing, writes Bill Carter, a media analyst for CNN.",https://cdn.cnn.com/cnnnext/dam/assets/191012120257-01-shepard-smith-file-super-tease.jpg,2019-10-12,CNN,"Opinion: Fox News fans will get more of what they want, Trump propaganda",https://www.cnn.com/2019/10/12/perspectives/shepard-smith-fox-news/index.html
Jenny List,"You’ve probably heard of the brave pilots, the so-called ‘few’, that took to the air in their Supermarine Spitfires and saved the day during the Battle of Britain. It’s a story that contains a lot of truth, but as is so often the case, it masks a story with a… [+1472 chars]","You’ve probably heard of the brave pilots, the so-called ‘few’, that took to the air in their Supermarine Spitfires and saved the day during the Battle of Britain. It’s a story that contains a lot of truth, but as is so often the case, it masks a story with a…",https://hackaday.com/wp-content/uploads/2019/10/3dp-hurricane-featured.jpg,2019-10-06,Hackaday.com,This Hurricane Uses A Novel Technique,https://hackaday.com/2019/10/05/this-hurricane-uses-a-novel-technique/
Terence Chea and Don Thompson,"SANTA ROSA, Calif. -- California's governor declared a statewide emergency Sunday after officials ordered nearly 200,000 people to leave their homes as hurricane-force winds drove multiple wildfires through bone-dry vegetation. Meanwhile, the state's largest … [+7006 chars]","California's governor declared a statewide emergency Sunday after officials ordered nearly 200,000 people to leave their homes as hurricane-force winds drove multiple wildfires through bone-dry vegetation.",https://www.ctvnews.ca/polopoly_fs/1.4657612.1572192017!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2019-10-27,Ctvnews.ca,"California declares state of emergency over wildfires, winds - CTV News",https://www.ctvnews.ca/world/california-declares-state-of-emergency-over-wildfires-winds-1.4657603
,"Hurricanes and earthquakes are bad enough on their own. Now imagine them combined.
That’s kind of what a stormquake is, a phenomenon just discovered by a team of researchers led by Wenyuan Fan, a professor and seismologist at Florida State University. The fi… [+2442 chars]","Scientists just discovered 'stormquakes' -- but don't worry, you're not in danger KUGN Scientists discover big storms can create 'stormquakes' CBC.ca Hurricane tracker: Which storms are raging across the globe? Are any of them stormquakes? Express.co.uk Hurri…",,2019-10-18,Kugn.com,"Scientists just discovered 'stormquakes' -- but don't worry, you're not in danger - KUGN",http://www.kugn.com/news/scientists-just-discovered-stormquakes-but-dont-worry-youre-not-in-danger/
Greg Kumparak,"If your home is in a wildfire area, insurance companies tend to not want to go anywhere near it.
But “wildfire areas” tend to be pretty broad. What if companies could evaluate the risk on a more granular level tapping things like satellite imagery and machin… [+1737 chars]","If your home is in a wildfire area, insurance companies tend to not want to go anywhere near it. But “wildfire areas” tend to be pretty broad. What if companies could evaluate the risk on a more granular level — tapping things like satellite imagery and machi…",https://techcrunch.com/wp-content/uploads/2019/10/disrupt-battlefield-delos-0272.jpg?w=609,2019-10-02,TechCrunch,Delos uses satellite imagery and AI to help homeowners in wildfire areas get insurance,http://techcrunch.com/2019/10/02/delos-uses-satellite-imagery-and-ai-to-help-homeowners-in-wildfire-areas-get-insurance/
Karen Zraick,"A super typhoon in the Pacific Ocean could hit Japan on Saturday, potentially causing grave damage in Tokyo, experts said.
The center of Super Typhoon Hagibis was roughly 950 miles south of Tokyoas of Thursday morning local time, according to Brandon Bukunt,… [+720 chars]","The center of the storm was in the Pacific Ocean, and could hit Tokyo this weekend.",https://static01.nyt.com/images/2019/10/09/multimedia/09xp-typhoonSUB/09xp-typhoonSUB-facebookJumbo.jpg,2019-10-09,The New York Times,Japan Prepares for Possible Hit by Super Typhoon Hagibis,https://www.nytimes.com/2019/10/09/world/asia/japan-typhoon-hagibis.html
Liam Casey,"TORONTO – Cialin Dany knew he was in trouble when he saw a massive palm tree laying on the ground next to the Abaco Lodge.
As hurricane Dorian whirled at the door, Dany, 32, took his Canadian wife, Alishia Liolli, and two of their children and hunkered down … [+7179 chars]","As hurricane Dorian whirled at the door, Cialin Dany took his Canadian wife, Alishia Liolli, and two of their children and hunkered down in a room at the fishing resort where he worked.",https://shawglobalnews.files.wordpress.com/2019/10/21960486.jpg?quality=70&strip=all&crop=0px%2C79px%2C720px%2C380px&resize=720%2C379,2019-10-14,Globalnews.ca,‘Save the kids!’: Hurricane Dorian survivor recalls harrowing story of his wife’s death - Global News,http://globalnews.ca/news/6030389/hurricane-dorian-alishia-liolli/
Amanda Yeo,"On Thursday, Late Night with Seth Meyers' A Closer Look segment once again turned the host's critical eye towards what else? Donald Trump lying about his own screwups. 
Examining the reactions of both Kurds in Syria and Trump's own Republican supporters, Mey… [+828 chars]","On Thursday, Late Night with Seth Meyers ' A Closer Look segment once again turned the host's critical eye towards — what else? — Donald Trump lying about his own screwups. Examining the reactions of both Kurds in Syria and Trump's own Republican supporters, …",https://mondrian.mashable.com/2019%252F10%252F25%252Fb4%252F2d9f062b8b3c4e9dbd7150579d12bc19.abe1a.png%252F1200x630.png?signature=IYnWOiEYOOZptivS3vdqkVpPZMw=,2019-10-25,Mashable,Seth Meyers mocks Republicans' increasingly limp defenses of Trump,https://mashable.com/video/seth-meyers-donald-trump-closer-look/
The Associated Press,"NEW ORLEANS - A judge has denied actor Brad Pitt's request to be taken off a lawsuit that says his Make it Right Foundation built shoddy homes in the New Orleans area that was hit hardest by Hurricane Katrina.
The Times-Picayune/ The New Orleans Advocate rep… [+632 chars]",A judge has denied actor Brad Pitt's request to be taken off a lawsuit that says his Make it Right Foundation built shoddy homes in the New Orleans area that was hit hardest by Hurricane Katrina.,https://www.cp24.com/polopoly_fs/1.4611564.1569511248!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2019-10-24,Cp24.com,"Judge: Brad Pitt, others can be sued over New Orleans homes - CP24 Toronto's Breaking News",https://www.cp24.com/entertainment-news/judge-brad-pitt-others-can-be-sued-over-new-orleans-homes-1.4654392
Lauren Frias,"Weeks after category 5 Hurricane Dorian raged through the Bahamas, residents and volunteers are still sifting through the wreckage. But under the layers of rubble, a one-year-old puppy was found.
Florida-based Big Dog Ranch Rescue spotted the mixed breed pup… [+2391 chars]","Trapped under an air-conditioning for three weeks, a one-year-old puppy was found after surviving off rainwater that fell in front of him in Marsh Harbour, a neighborhood on the Great Abaco Island. Florida-based Big Dog Ranch Rescue spotted the mixed breed pu…",https://image.businessinsider.com/5d9be996e94e8656af176632?width=1200&format=jpeg,2019-10-08,Insider.com,A puppy survived for 3 weeks on rain water after being trapped under the wreckage of Hurricane Dorian,https://www.insider.com/one-year-old-puppy-found-trapped-under-wreckage-hurricane-dorian-2019-10
Aaron Randle,"Dear Diary:
I left New York this year after living in the city my entire life. It took me nearly six months to update home on my GPS with my new, non-New York City address. 
Im still in denial that I left. I had signed up for Notify NYC text-message alerts … [+859 chars]",Thursday: New York's plan to speed up buses on the busy street is now in effect. Here are the new rules.,https://static01.nyt.com/images/2019/10/03/nyregion/03nytoday1/03nytoday1-facebookJumbo.jpg,2019-10-03,The New York Times,Most Cars Are Banned on 14th Street Starting Today,https://www.nytimes.com/2019/10/03/nyregion/nyc-news-14th-street.html
Peter Baker,"More than 3,000 people died in Puerto Rico, and actually President Trump, as the leader of America, has a lot of blame to take, Mr. Andrés said after Hurricane Maria devastated the island in 2018.
Before Mr. Trumps arrival, Mr. Andrés was cheered warmly as h… [+1142 chars]","In his first appearance at a Major League Baseball game since taking office, the president was booed at Game 5 of the World Series at Washington’s Nationals Park.",https://static01.nyt.com/images/2019/10/27/us/politics/27dc-baseball1/27dc-baseball1-facebookJumbo.jpg,2019-10-28,The New York Times,"For Trump, No Joy in Mudville",https://www.nytimes.com/2019/10/27/us/politics/trump-world-series.html
,"Dear Diary:
I left New York this year after living in the city my entire life. It took me nearly six months to update home on my GPS with my new, non-New York City address. 
Im still in denial that I left. I had signed up for Notify NYC text-message alerts … [+859 chars]","At the D.M.V. in the Bronx, relishing long-distance warnings and more reader tales of New York City in this week’s Metropolitan Diary.",https://static01.nyt.com/images/2019/09/29/nyregion/29diary-4/29diary-4-facebookJumbo.jpg,2019-09-30,The New York Times,‘The Clerk Instructed the Man to Read a Line on the Eye Chart on the Wall’,https://www.nytimes.com/2019/09/29/nyregion/metropolitan-diary.html
The New York Times,"As Hagibis approached this week at one point the equivalent of a Category 5 hurricane, with 160 m.p.h. winds the Japanese authorities prepared for disruptions in the lives of millions of people. About 1.5 million people live below sea level in eastern parts o… [+1332 chars]","With landfall just hours away, more than a million people were urged to evacuate as Japan braced for strong winds, storm surges and flash floods.",https://static01.nyt.com/images/2019/10/11/world/11typhoon/11typhoon-facebookJumbo.jpg,2019-10-12,The New York Times,What to Know as Typhoon Hagibis Nears Japan,https://www.nytimes.com/2019/10/12/world/asia/typhoon-hagibis.html
"USA TODAY, Morgan Hines, USA TODAY","After performance, composer-actor calls Trump's latest plan to finance border wall 'abolutely monstrous' (Jan. 11)
 AP
Two years after Hurricane Maria ravaged Puerto Rico, the small island remains in recovery. As it continues to bounce back, post-hurricane … [+6568 chars]","Two years after Hurricane Maria ravaged Puerto Rico, the island is still recovering. In 2019, post-hurricane tourism has begun to boom.","https://www.gannett-cdn.com/presto/2019/10/14/USAT/6c70d02e-c248-4c5d-879b-a821bd0ba425-rosario.jpg?crop=2047,1152,x0,y104&width=3200&height=1680&fit=bounds",2019-10-23,USA Today,"Rosario Dawson, Lin-Manuel Miranda help travelers rediscover Puerto Rico as tourism bounces back",https://www.usatoday.com/story/travel/2019/10/23/rosario-dawson-lin-manuel-miranda-puerto-rico-travel/3973934002/?utm_source=google&utm_medium=amp&utm_campaign=speakable
Nicole Dieker,"Even when you think youre doing everything right financially, things can still go wrong. Job loss, divorce, and illness can all wreak havoc on your finances, as can car accidents, natural disasters, andwell, you get the idea.
What do you do if an unexpected … [+3247 chars]","Even when you think you’re doing everything right financially, things can still go wrong. Job loss, divorce, and illness can all wreak havoc on your finances, as can car accidents, natural disasters, and—well, you get the idea. Read more...","https://i.kinja-img.com/gawker-media/image/upload/s--oETBwNda--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/i17dfvfxfgiknz7ilpog.jpg",2019-09-30,Lifehacker.com,How to Survive Every Type of Financial Setback,https://lifehacker.com/how-to-survive-every-type-of-financial-setback-1838625506
Josiah Bates,"2019’s hurricane season in the North Atlantic Ocean is expected to last until November 30th. Over the past few months, storms like Dorian, Barry and Imelda have caused widespread damage and destruction. Dorian, which grew to a category 5 storm, devastated the… [+4135 chars]",It also makes it easier to share the name of the storm between coastal bases and ships at sea. The media is also able to report the names quicker and allow people to be more prepared for the impending storm,https://timedotcom.files.wordpress.com/2019/10/why-are-hurricanes-named.jpg?quality=85&w=1200&h=628&crop=1,2019-10-15,Time,How Are Hurricanes Named? Here’s What You Need to Know,https://time.com/5696288/hurricane-names/
Joanne Lu,"Left: Volunteers take part in a ""mapathon"" organized by the Humanitarian OpenStreetMap Team. Right: OpenStreetMap contributors pinpoint dump sites along rivers and waterways in Dar es Saalam in an effort to predict and prevent flooding in the Tanzanian city.… [+9841 chars]",Humanitarians are using crowd-sourcing software to fill in blank spots on maps of disaster-prone countries.,https://media.npr.org/assets/img/2019/09/30/map_diptych_wide-266ece11a5910f3dcba1c8c3b00bae673c02b6ee.jpg?s=1400,2019-10-03,Npr.org,"After Hurricane Dorian, The 'Wikipedia Of Maps' Came To The Rescue",https://www.npr.org/sections/goatsandsoda/2019/10/03/765783296/after-hurricane-dorian-the-wikipedia-of-maps-came-to-the-rescue
"feedback@businessinsider.com (Rosie Perper), Rosie Perper","A family discovered 20 bricks of cocaine on a beach while on vacation in South Carolina, estimated to be worth around $600,000. 
A man and his family were walking along the beach on Fripp Island, a popular tourist spot located near the state's border with Ge… [+1027 chars]","Google Maps A man and his family discovered 20 bricks of cocaine while on vacation in South Carolina. According to the Beaufort County Sheriff's Office, the man stumbled upon a strange object near the shore and brought it home. When he opened it, he discovere…",https://image.businessinsider.com/5d9d4c6fe94e861cf70eadeb?width=1200&format=jpeg,2019-10-09,Insider.com,Family finds more than a half a million dollars of cocaine on the beach during their vacation,https://www.insider.com/family-finds-half-million-dollars-cocaine-on-south-carolina-beach-2019-10
Associated Press,"WASHINGTON - Scientists have discovered a mash-up of two feared disasters -- hurricanes and earthquakes -- and they're calling them ""stormquakes.""
The shaking of the sea floor during hurricanes and nor'easters can rumble like a magnitude 3.5 earthquake and c… [+1987 chars]","Scientists discover big hurricanes can create 'stormquakes' FOX 13 News, Tampa Bay Scientists discover big storms can create ‘stormquakes’ South China Morning Post View full coverage on Google News",https://images.foxtv.com/static.fox13news.com/www.fox13news.com/content/uploads/2019/10/724/407/470571main_isabel_lg.jpg?ve=1&tl=1,2019-10-19,Fox13news.com,"Scientists discover big hurricanes can create 'stormquakes' - FOX 13 News, Tampa Bay",https://www.fox13news.com/news/scientists-discover-big-hurricanes-can-create-stormquakes
,"WASHINGTON -- Scientists have discovered a mash-up of two feared disasters -- hurricanes and earthquakes -- and they're calling them ""stormquakes.""
The shaking of the sea floor during hurricanes and nor'easters can rumble like a magnitude 3.5 earthquake and … [+1668 chars]",WASHINGTON -- Scientists have discovered a mash-up of two feared disasters -- hurricanes and earthquakes -- and they&#39;re calling them...,https://www.sunstar.com.ph/uploads/images/2019/10/17/183809.jpg,2019-10-17,Sunstar.com.ph,Scientists discover big storms can create 'stormquakes' - Sun.Star,https://www.sunstar.com.ph/article/1827976
Audra D. S. Burch,"And is the rarest of constitutional consequences, impeachment by the House and then possible conviction and removal from office by the Senate, worth the trouble a year before the next election the first in which the students in Mr. Diers class, most of whom a… [+1564 chars]","At Chalmette High School in Louisiana, students in a world history class made their case for or against punishing President Trump.",https://static01.nyt.com/images/2019/10/23/us/23IMPEACH-STUDENTS01/00IMPEACH-STUDENTS01-facebookJumbo.jpg,2019-10-23,The New York Times,‘Centrism Is Canceled’: High Schoolers Debate the Impeachment Inquiry,https://www.nytimes.com/2019/10/23/us/students-impeach-trump-debate.html
