title,author,source,description,content,pub_date,url,photo_url
Why Shares of PG&E Are Climbing Today,newsfeedback@fool.com (Lou Whiteman),Fool.com,"After two days of dramatic declines, bargain hunters are rushing in.","What happened
Shares of PG&amp;E(NYSE:PCG) lost nearly half of their value in two trading days as a new wave of wildfires and power shutdowns cast fresh doubts on the bankrupt utility's restructuring plans. On Tuesday bargain hunters stepped in, sending PG&a… [+1887 chars]",2019-10-29,https://www.fool.com/investing/2019/10/29/why-shares-of-pge-are-climbing-today.aspx,https://g.foolcdn.com/editorial/images/544330/power-transmission-lines-source-getty.jpg
Don’t lecture California about fires. Look at the state’s climate action.,Alissa Walker,Curbed.com,The state’s successful 40-year campaign to reduce emissions never gets mentioned in wildfire coverage.,AP Photo/Ethan Swope The state has worked for over 40 years to successfully reduce emissions—but that never gets mentioned when hillsides burn I don’t expect people who don’t live here to understand what it’s like. Trying to fall sleep as the ominous scent se… [+6367 chars],2019-10-29,https://www.curbed.com/2019/10/29/20937249/california-wildfires-climate-change-emissions,https://cdn.vox-cdn.com/thumbor/teklLArSJcc5B2MwKKnHBGOIOTI=/0x146:2280x1340/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19329151/AP_19300863572731.jpg
"Getty Fire: 618 Acres Burned, 10000 Asked To Evacuate - laist.com",,Laist.com,"Getty Fire: 618 Acres Burned, 10000 Asked To Evacuate laist.com Getty Fire: Burns off 405 Freeway in Los Angeles ABC10 Flashback: Getty Center Threatened by Wildfire in 2017 Breitbart Brush Fire Near L.A.'s Getty Center Forces Evacuations Hollywood Reporter S…","Firefighters douse the smoldering remains of a house in the area where the Getty Fire is burning on Oct. 28, 2019. The fire broke out overnight near a major freeway and quickly spread south and west, sending people fleeing in the dark. (Apu Gomes/AFP via Gett… [+14049 chars]",2019-10-29,https://laist.com/2019/10/28/getty-fire-mandeville-canyon-evacuations.php,https://laistassets.scprdev.org/i/cce204ace50d8891f021cdeb50f7c896/5db7686dc92b3500089d2979-eight.jpg
California scientists weather disruptions from wildfires and power outages,Jeff Tollefson,Nature.com,Blackouts and blazes prompt university closures and uncertainty over when life can return to normal.,"Smoke swirls around a firefighter helping to tackle the Kincade wildfire burning in northern California.Credit: Stephen Lam/REUTERS
Wildfires whipped up by hurricane-force winds have led to evacuations and precautionary power outages across California over t… [+3084 chars]",2019-10-29,https://www.nature.com/articles/d41586-019-03302-z?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nature%2Frss%2Fcurrent+%28Nature+-+Issue%29,https://media.nature.com/lw1024/magazine-assets/d41586-019-03302-z/d41586-019-03302-z_17323808.jpg
California scientists weather disruptions from wildfires and power outages,Jeff Tollefson,Nature.com,Blackouts and blazes prompt university closures and uncertainty over when life can return to normal.,"Smoke swirls around a firefighter helping to tackle the Kincade wildfire burning in northern California.Credit: Stephen Lam/REUTERS
Wildfires whipped up by hurricane-force winds have led to evacuations and precautionary power outages across California over t… [+3084 chars]",2019-10-29,https://www.nature.com/articles/d41586-019-03302-z,https://media.nature.com/lw1024/magazine-assets/d41586-019-03302-z/d41586-019-03302-z_17323808.jpg
Calm winds aid firefighters battling Kincade Fire - KCRA Sacramento,Mike Luery,Kcra.com,Calm winds aid firefighters battling Kincade Fire KCRA Sacramento How firefighters valiantly blocked Kincade fire from torching Windsor homes Santa Rosa Press Democrat Crews race to control Kincade Fire before winds return KTVU San Francisco KINCADE FIRE: Fir…,"LARKFIELD-WIKIUP, Calif. —More than 4,100 firefighters were on the front lines Monday battling the Kincade Fire both on the ground and from the air. 
Cal Fire deployed massive resources from across California in an effort to get an upper hand on the blaze, g… [+1482 chars]",2019-10-29,https://www.kcra.com/article/kincade-fire-sonoma-county-wildfire-firefighters-california/29616364,"https://kubrick.htvapps.com/vidthumb/51651bbb-e419-4aed-a2fc-d0b089817c70/51651bbb-e419-4aed-a2fc-d0b089817c70_image.jpg?crop=0.779xw:0.777xh;0.156xw,0&resize=1200:*"
Winds pick up Tuesday morning as crews work to hold line on massive Kincade Fire - San Francisco Chronicle,"Jill Tucker, Sarah Ravani, Megan Cassidy, Evan Sernoffsky",Sfchronicle.com,Winds pick up Tuesday morning as crews work to hold line on massive Kincade Fire San Francisco Chronicle Latest: 'We're not taking this wind event lightly': Officials worry Kincade fire could push toward Santa Rosa Santa Rosa Press Democrat Latest: Kincade Fi…,"The wind was again fanning flames of the massive Kincade Fire Tuesday morning, with firefighters bracing for yet another battle to keep the blaze from reaching homes and jumping Highway 101.
Officials advised residents to be ready to run, with 24 hours of wi… [+6893 chars]",2019-10-29,https://www.sfchronicle.com/california-wildfires/article/Kincade-Fire-surpasses-75-000-acres-as-crews-hold-14570835.php,https://s.hdnux.com/photos/01/06/51/22/18519205/7/rawImage.jpg
"Kincade fire crews brace for more high winds, PG&E plans another massive power shutdown - The Mercury News","Maggie Angst, Joseph Geha, Casey Tolan, Thy Vo, Jason Green",Mercurynews.com,"Kincade fire crews brace for more high winds, PG&E plans another massive power shutdown The Mercury News Latest: Kincade Fire grows to 74324 acres, evacuation warnings in Lake County SFGate California wildfires ""critical"" due to weather CBS This Morning Lesso…","CLICK HERE if you are having a problem viewing the photos or video on a mobile device.
SANTA ROSA — After the Kincade Fire swelled to more than 74,000 acres Monday, calmer winds brought some relief — even if short-lived — in the fight against the blaze that … [+9020 chars]",2019-10-29,http://www.mercurynews.com/not-out-of-the-woods-yet-kincade-firefighters-prepare-for-next-wave-of-high-winds,https://www.mercurynews.com/wp-content/uploads/2019/10/SJM-L-KINCADE-1029-2.jpg?w=1024&h=693
"LeBron James details Getty Fire evacuation, commends first responders - OCRegister",Kyle Goon,Ocregister.com,"LeBron James details Getty Fire evacuation, commends first responders OCRegister A wildfire is getting close to the Getty Museum. Here's why they're not moving the art CNN Lakers' LeBron James Sent Taco Truck to First Responders Fighting Getty Wildfire Bleach…","EL SEGUNDO The first alert on his phone came around 1:30 a.m., just a few hours after LeBron James and the Lakers had finished wrapping up a 120-101 win over Charlotte.
The second came about 15 minutes later, and 15 minutes after that, the James family had s… [+4910 chars]",2019-10-29,http://www.ocregister.com/lebron-james-details-getty-fire-evacuation-commends-first-responders,https://www.ocregister.com/wp-content/uploads/2019/10/Lakers-Warriors-Basketball-1-3-3.jpg?w=1024&h=683
"This Halloween, scare your friends with some climate crisis vocabulary",Kate Yoder,Salon.com,"From ""ghost forests"" to ""zombie diseases,"" climate change has brought us a ghoulish vocabulary","There’s no doubt about it: The climate crisis is scary. Have you read ""The Uninhabitable Earth"" yet? My sister made the mistake of reading it before bed recently and then had an “apocalypse dream” where she was “one of the remaining humans scrounging for life… [+2943 chars]",2019-10-29,https://www.salon.com/2019/10/29/this-halloween-scare-your-friends-with-some-climate-crisis-vocab_partner/,https://media.salon.com/2015/05/defense-anthrax.jpeg.jpg
Maps: The size of the Kincade Fire compared to major cities - SFGate,Alix Martichoux,Sfgate.com,Maps: The size of the Kincade Fire compared to major cities SFGate Evacuation advisory issued for Middletown as Kincade Fire battle continues Napa Valley Register Officials provide the latest information on the Kincade Fire burning in Sonoma County KCRA News …,"<ul><li>The size of the Kincade Fire compared to San Francisco.
The size of the Kincade Fire compared to San Francisco.
 Photo: Screenshot Via Google Maps
</li></ul>
The size of the Kincade Fire compared to San Francisco.
The size of the Kincade Fire com… [+2994 chars]",2019-10-29,https://www.sfgate.com/california-wildfires/article/kincade-fire-size-acres-damage-sonoma-north-bay-14569036.php,https://s.hdnux.com/photos/01/06/50/60/18517019/3/rawImage.png
